rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
15,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL75,4/5/08,1704,0,13
16,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL41,4/5/08,1943,9,22
17,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL885,4/5/08,1451,5,18
18,BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL125,4/5/08,1842,181,194
19,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL41,4/5/08,1943,9,26
2,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL535,4/5/08,2206,73,80
20,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL535,4/5/08,2206,73,90
21,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL125,4/5/08,1842,181,198
22,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1185,4/5/08,1332,6,23
23,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL885,4/5/08,1451,5,22
24,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1423,4/5/08,2134,12,29
25,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL75,4/5/08,1704,0,17
26,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL41,4/5/08,2151,20,37
27,BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,FL40,4/5/08,1857,-2,15
28,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL40,4/5/08,1857,-2,21
29,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,FL41,4/5/08,2151,20,43
3,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL75,4/5/08,1704,0,7
30,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL535,4/5/08,2206,73,96
31,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL41,4/5/08,1943,9,32
32,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL75,4/5/08,1704,0,23
33,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL885,4/5/08,1451,5,28
34,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL1423,4/5/08,2134,12,35
35,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL125,4/5/08,1842,181,204
36,BOS_ATL_LAX,BOS,ATL,LAX,DL661,4/3/08,556,23,DL1185,4/5/08,1332,6,29
37,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL125,4/5/08,1842,181,209
38,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL1423,4/5/08,2134,12,40
39,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL885,4/5/08,1451,5,33
4,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL1185,4/5/08,1332,6,13
40,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL1185,4/5/08,1332,6,34
41,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL75,4/5/08,1704,0,28
42,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL41,4/5/08,1943,9,37
43,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,DL535,4/5/08,2206,73,101
44,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,FL41,4/5/08,2151,20,48
45,BOS_ATL_LAX,BOS,ATL,LAX,DL667,4/3/08,834,28,FL40,4/5/08,1857,-2,26
46,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,FL41,4/5/08,2151,20,53
47,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,FL40,4/5/08,1857,-2,31
48,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL1423,4/5/08,2134,12,45
49,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL75,4/5/08,1704,0,33
5,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL885,4/5/08,1451,5,12
50,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL535,4/5/08,2206,73,106
51,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL885,4/5/08,1451,5,38
52,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL1185,4/5/08,1332,6,39
53,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL41,4/5/08,1943,9,42
54,BOS_ATL_LAX,BOS,ATL,LAX,DL669,4/3/08,1011,33,DL125,4/5/08,1842,181,214
55,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL1185,4/5/08,1332,6,51
56,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL885,4/5/08,1451,5,50
57,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL535,4/5/08,2206,73,118
58,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL125,4/5/08,1842,181,226
59,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL75,4/5/08,1704,0,45
6,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL125,4/5/08,1842,181,188
60,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL41,4/5/08,1943,9,54
61,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,DL1423,4/5/08,2134,12,57
62,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,FL41,4/5/08,2151,20,65
63,BOS_ATL_LAX,BOS,ATL,LAX,DL671,4/3/08,1113,45,FL40,4/5/08,1857,-2,43
7,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL1423,4/5/08,2134,12,19
8,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,FL40,4/5/08,1857,-2,5
9,BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,FL41,4/5/08,2151,20,27
1,LAX_MIA_LAX,LAX,MIA,LAX,AA202,3/4/08,710,-1,AA247,3/6/08,1506,57,56
10,LAX_MIA_LAX,LAX,MIA,LAX,AA967,3/4/08,835,4,AA267,3/6/08,1639,62,66
11,LAX_MIA_LAX,LAX,MIA,LAX,AA231,3/4/08,553,8,AA456,3/6/08,1952,27,35
12,LAX_MIA_LAX,LAX,MIA,LAX,AA231,3/4/08,553,8,AA267,3/6/08,1639,62,70
13,LAX_MIA_LAX,LAX,MIA,LAX,AA231,3/4/08,553,8,AA247,3/6/08,1506,57,65
14,LAX_MIA_LAX,LAX,MIA,LAX,AA231,3/4/08,553,8,AA1018,3/6/08,1821,11,19
15,LAX_MIA_LAX,LAX,MIA,LAX,AA231,3/4/08,553,8,AA1125,3/6/08,2205,57,65
2,LAX_MIA_LAX,LAX,MIA,LAX,AA202,3/4/08,710,-1,AA456,3/6/08,1952,27,26
3,LAX_MIA_LAX,LAX,MIA,LAX,AA202,3/4/08,710,-1,AA267,3/6/08,1639,62,61
4,LAX_MIA_LAX,LAX,MIA,LAX,AA202,3/4/08,710,-1,AA1018,3/6/08,1821,11,10
5,LAX_MIA_LAX,LAX,MIA,LAX,AA202,3/4/08,710,-1,AA1125,3/6/08,2205,57,56
6,LAX_MIA_LAX,LAX,MIA,LAX,AA967,3/4/08,835,4,AA1018,3/6/08,1821,11,15
7,LAX_MIA_LAX,LAX,MIA,LAX,AA967,3/4/08,835,4,AA1125,3/6/08,2205,57,61
8,LAX_MIA_LAX,LAX,MIA,LAX,AA967,3/4/08,835,4,AA247,3/6/08,1506,57,61
9,LAX_MIA_LAX,LAX,MIA,LAX,AA967,3/4/08,835,4,AA456,3/6/08,1952,27,31
1,PHX_JFK_MSP,PHX,JFK,MSP,B6178,9/7/08,1127,-25,NW609,9/9/08,1747,-17,-42
2,PHX_JFK_MSP,PHX,JFK,MSP,B6178,9/7/08,1127,-25,NW369,9/9/08,1239,139,114
3,PHX_JFK_MSP,PHX,JFK,MSP,DL118,9/7/08,634,-19,NW609,9/9/08,1747,-17,-36
4,PHX_JFK_MSP,PHX,JFK,MSP,DL118,9/7/08,634,-19,NW369,9/9/08,1239,139,120
5,PHX_JFK_MSP,PHX,JFK,MSP,US12,9/7/08,904,43,NW609,9/9/08,1747,-17,26
6,PHX_JFK_MSP,PHX,JFK,MSP,US12,9/7/08,904,43,NW369,9/9/08,1239,139,182
10,PBI_DFW_ATL,PBI,DFW,ATL,AA799,8/17/08,900,3,AA1332,8/19/08,1955,24,27
1,SLC_BFL_LAX,SLC,BFL,LAX,OO3755,4/1/08,1101,13,OO5429,4/3/08,1509,20,33
1,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,OO6119,6/12/08,1446,-8,-31
10,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2355,6/12/08,2249,338,315
100,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,UA725,6/12/08,2036,29,36
101,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2349,6/12/08,2019,180,187
102,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2357,6/12/08,2335,344,351
103,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2345,6/12/08,1807,59,66
104,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2321,6/12/08,1205,15,22
105,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2341,6/12/08,1650,-5,2
106,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2325,6/12/08,1257,2,9
107,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2333,6/12/08,1515,-4,3
108,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2331,6/12/08,1416,6,13
109,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2361,6/12/08,2312,178,185
11,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2337,6/12/08,1846,326,303
110,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2337,6/12/08,1846,326,333
111,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2355,6/12/08,2249,338,345
112,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA2329,6/12/08,1327,8,15
113,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2345,6/12/08,1807,59,67
114,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2331,6/12/08,1416,6,14
115,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2321,6/12/08,1205,15,23
116,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2337,6/12/08,1846,326,334
117,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2341,6/12/08,1650,-5,3
118,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2325,6/12/08,1257,2,10
119,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2329,6/12/08,1327,8,16
12,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2349,6/12/08,2019,180,157
120,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2355,6/12/08,2249,338,346
121,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2361,6/12/08,2312,178,186
122,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2357,6/12/08,2335,344,352
123,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2333,6/12/08,1515,-4,4
124,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA2349,6/12/08,2019,180,188
125,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,AA47,6/12/08,1914,21,29
126,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,OO6119,6/12/08,1446,-8,0
127,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,UA357,6/12/08,1702,34,42
128,DFW_ORD_DFW,DFW,ORD,DFW,AA2340,6/10/08,1047,8,UA725,6/12/08,2036,29,37
13,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2333,6/12/08,1515,-4,-27
14,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2325,6/12/08,1257,2,-21
15,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2331,6/12/08,1416,6,-17
16,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2341,6/12/08,1650,-5,-28
17,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2331,6/12/08,1416,6,-8
18,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2357,6/12/08,2335,344,330
19,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2345,6/12/08,1807,59,45
2,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA47,6/12/08,1914,21,-2
20,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2349,6/12/08,2019,180,166
21,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2329,6/12/08,1327,8,-6
22,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2325,6/12/08,1257,2,-12
23,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2321,6/12/08,1205,15,1
24,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2333,6/12/08,1515,-4,-18
25,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2361,6/12/08,2312,178,164
26,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2355,6/12/08,2249,338,324
27,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2341,6/12/08,1650,-5,-19
28,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA2337,6/12/08,1846,326,312
29,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,AA47,6/12/08,1914,21,7
3,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,UA357,6/12/08,1702,34,11
30,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,OO6119,6/12/08,1446,-8,-22
31,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,UA357,6/12/08,1702,34,20
32,DFW_ORD_DFW,DFW,ORD,DFW,AA2328,6/10/08,748,-14,UA725,6/12/08,2036,29,15
33,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,UA357,6/12/08,1702,34,23
34,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,UA725,6/12/08,2036,29,18
35,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA47,6/12/08,1914,21,10
36,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2325,6/12/08,1257,2,-9
37,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2331,6/12/08,1416,6,-5
38,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2341,6/12/08,1650,-5,-16
39,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2337,6/12/08,1846,326,315
4,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,UA725,6/12/08,2036,29,6
40,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2333,6/12/08,1515,-4,-15
41,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2321,6/12/08,1205,15,4
42,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2349,6/12/08,2019,180,169
43,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2357,6/12/08,2335,344,333
44,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2355,6/12/08,2249,338,327
45,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2345,6/12/08,1807,59,48
46,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2361,6/12/08,2312,178,167
47,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,AA2329,6/12/08,1327,8,-3
48,DFW_ORD_DFW,DFW,ORD,DFW,AA2332,6/10/08,914,-11,OO6119,6/12/08,1446,-8,-19
49,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,OO6119,6/12/08,1446,-8,-18
5,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2357,6/12/08,2335,344,321
50,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA47,6/12/08,1914,21,11
51,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,UA357,6/12/08,1702,34,24
52,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,UA725,6/12/08,2036,29,19
53,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2331,6/12/08,1416,6,-4
54,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2321,6/12/08,1205,15,5
55,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2361,6/12/08,2312,178,168
56,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2355,6/12/08,2249,338,328
57,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2357,6/12/08,2335,344,334
58,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2337,6/12/08,1846,326,316
59,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2333,6/12/08,1515,-4,-14
6,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2361,6/12/08,2312,178,155
60,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2349,6/12/08,2019,180,170
61,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2341,6/12/08,1650,-5,-15
62,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2329,6/12/08,1327,8,-2
63,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2325,6/12/08,1257,2,-8
64,DFW_ORD_DFW,DFW,ORD,DFW,OO6441,6/10/08,924,-10,AA2345,6/12/08,1807,59,49
65,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2325,6/12/08,1257,2,-5
66,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2355,6/12/08,2249,338,331
67,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2329,6/12/08,1327,8,1
68,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2345,6/12/08,1807,59,52
69,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2341,6/12/08,1650,-5,-12
7,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2321,6/12/08,1205,15,-8
70,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2321,6/12/08,1205,15,8
71,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2333,6/12/08,1515,-4,-11
72,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2357,6/12/08,2335,344,337
73,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2337,6/12/08,1846,326,319
74,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2361,6/12/08,2312,178,171
75,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2331,6/12/08,1416,6,-1
76,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA2349,6/12/08,2019,180,173
77,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,AA47,6/12/08,1914,21,14
78,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,OO6119,6/12/08,1446,-8,-15
79,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,UA357,6/12/08,1702,34,27
8,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2329,6/12/08,1327,8,-15
80,DFW_ORD_DFW,DFW,ORD,DFW,AA2344,6/10/08,1139,-7,UA725,6/12/08,2036,29,22
81,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,UA357,6/12/08,1702,34,33
82,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,UA725,6/12/08,2036,29,28
83,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA47,6/12/08,1914,21,20
84,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2329,6/12/08,1327,8,7
85,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2345,6/12/08,1807,59,58
86,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2331,6/12/08,1416,6,5
87,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2337,6/12/08,1846,326,325
88,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2325,6/12/08,1257,2,1
89,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2357,6/12/08,2335,344,343
9,DFW_ORD_DFW,DFW,ORD,DFW,UA1104,6/10/08,658,-23,AA2345,6/12/08,1807,59,36
90,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2341,6/12/08,1650,-5,-6
91,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2349,6/12/08,2019,180,179
92,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2361,6/12/08,2312,178,177
93,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2321,6/12/08,1205,15,14
94,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2355,6/12/08,2249,338,337
95,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,AA2333,6/12/08,1515,-4,-5
96,DFW_ORD_DFW,DFW,ORD,DFW,AA2324,6/10/08,653,-1,OO6119,6/12/08,1446,-8,-9
97,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,OO6119,6/12/08,1446,-8,-1
98,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,AA47,6/12/08,1914,21,28
99,DFW_ORD_DFW,DFW,ORD,DFW,AA2320,6/10/08,558,7,UA357,6/12/08,1702,34,41
1,JAX_DFW_CRP,JAX,DFW,CRP,AA845,9/9/08,722,-2,MQ3701,9/11/08,1310,18,16
2,JAX_DFW_CRP,JAX,DFW,CRP,AA845,9/9/08,722,-2,MQ3419,9/11/08,1504,23,21
3,JAX_DFW_CRP,JAX,DFW,CRP,AA845,9/9/08,722,-2,MQ3627,9/11/08,1648,-4,-6